price,sqft_living,sqft_lot,floors,sqft_above,sqft_basement,yr_built,Date,sqft_li_lot,avec_sans_bas
405000,3170,12750,2,2360,810,1995,6/24/2014,0.248627451,1
269950,1890,4838,2,1730,160,2002,6/15/2014,0.390657296,1
470000,2100,4700,2,2100,0,1999,10/20/2014,0.446808511,0
422120,1630,4534,2,1630,0,1987,1/15/2015,0.359505955,0
581000,2600,4438,2,2600,0,2004,9/8/2014,0.585849482,0
347000,1680,4308,2,1680,0,2004,5/12/2015,0.389972145,0
438000,1520,1304,2,1180,340,2006,7/31/2014,1.165644172,1
265000,1720,6271,2,1720,0,1993,10/22/2014,0.274278424,0
467000,3460,6590,2,3460,0,2001,4/27/2015,0.525037936,0
457500,1500,4445,2,1500,0,1996,7/31/2014,0.337457818,0
740000,3000,25341,2,3000,0,1995,6/10/2014,0.118385226,0
660000,2680,28243,2,2680,0,1993,8/5/2014,0.094890769,0
324000,1750,7208,2,1750,0,1994,5/22/2014,0.242785794,0
324000,1920,5322,2,1920,0,1999,12/10/2014,0.360766629,0
300000,1320,2614,2,1320,0,2005,9/2/2014,0.504973221,0
253000,2020,6564,1,1310,710,1994,10/7/2014,0.307739183,1
1029900,3680,13384,2,3680,0,1994,10/15/2014,0.27495517,0
720000,2020,1159,3,2020,0,2000,5/21/2014,1.742881795,0
524250,1710,3469,2,1710,0,1999,7/24/2014,0.492937446,0
535000,1360,1016,3,1310,50,2003,5/29/2014,1.338582677,1
530000,1930,7214,2,1930,0,2005,6/14/2014,0.267535348,0
515000,2430,4203,2,2430,0,2001,11/19/2014,0.578158458,0
566000,1560,5259,2,1560,0,1999,2/26/2015,0.296634341,0
515000,2360,11254,1,2360,0,1990,7/16/2014,0.209703217,0
435000,1560,3987,2,1560,0,2002,1/14/2015,0.391271633,0
303000,1560,4100,2,1560,0,1985,2/6/2015,0.380487805,0
605000,2570,9487,2,2570,0,1989,12/31/2014,0.270897017,0
510000,1860,3658,2,1860,0,1994,10/29/2014,0.508474576,0
298900,1830,6162,2,1830,0,1994,3/9/2015,0.2969815,0
315000,1570,2865,2,1570,0,2003,10/2/2014,0.547993019,0
605000,2010,3667,2,2010,0,2008,9/3/2014,0.548131988,0
359000,1450,3850,2,1450,0,2004,3/9/2015,0.376623377,0
565000,2500,7394,2,2500,0,1990,7/9/2014,0.338111983,0
334950,1620,2930,2,1620,0,2002,3/24/2015,0.552901024,0
254000,1850,4597,2,1850,0,2003,5/9/2014,0.402436372,0
479000,1260,889,3,1260,0,2008,5/20/2014,1.417322835,0
245000,1600,4271,2,1600,0,2003,4/6/2015,0.374619527,0
455000,2090,8653,2,2090,0,1989,11/13/2014,0.241534728,0
320000,2280,7417,2,2280,0,1998,6/23/2014,0.307401915,0
390000,2500,21780,1,1770,730,1986,11/24/2014,0.114784206,1
467000,1690,6642,2,1690,0,2004,11/10/2014,0.254441433,0
340000,1240,1115,3,1240,0,2003,11/13/2014,1.112107623,0
302495,2200,7201,2,2200,0,1994,12/23/2014,0.305513123,0
441500,2420,9592,2,1780,640,1993,9/10/2014,0.252293578,1
590000,2400,99752,1,2400,0,1996,12/17/2014,0.024059668,0
403000,1700,4125,2,1700,0,2004,4/24/2015,0.412121212,0
445000,2470,4565,2,2470,0,2005,8/8/2014,0.541073384,0
748000,2600,10183,1,1300,1300,2004,5/1/2015,0.255327507,1
375000,2050,7205,2,2050,0,2000,5/5/2015,0.284524636,0
567500,2080,4556,2,2080,0,1999,4/13/2015,0.456540825,0
585000,2270,100545,2,2270,0,1998,6/24/2014,0.022576956,0
1075000,3280,10302,1,1680,1600,1970,7/2/2014,0.31838478,1
933399,3940,10360,2,3110,830,1992,7/14/2014,0.38030888,1
303700,1981,5700,2,1981,0,2010,9/5/2014,0.34754386,0
267000,2495,4400,2,2495,0,2007,5/28/2014,0.567045455,0
300000,1260,3855,2,1260,0,1999,8/6/2014,0.326848249,0
750000,2360,12987,2,2360,0,1983,4/21/2015,0.181720182,0
470000,2620,4874,2,2620,0,1999,2/17/2015,0.537546163,0
566000,2090,6294,2,2090,0,2004,3/18/2015,0.332062282,0
652100,2380,5017,2,2380,0,2003,4/14/2015,0.474387084,0
455800,1690,4584,2,1690,0,2002,7/28/2014,0.368673647,0
504750,2490,21937,2,2490,0,1993,12/18/2014,0.113506861,0
340000,2690,8577,2,2690,0,1987,10/1/2014,0.313629474,0
432900,2210,9226,2,2210,0,1998,10/13/2014,0.239540429,0
409900,1690,1200,2,1410,280,2013,3/27/2015,1.408333333,1
303000,1850,4957,2,1850,0,1999,4/25/2015,0.373209603,0
655000,2320,4721,2,2320,0,2004,3/27/2015,0.491421309,0
454000,2530,43733,2,1530,1000,1991,9/5/2014,0.057851051,1
238000,1650,2807,2,1650,0,2004,11/4/2014,0.587816174,0
960000,1730,4102,3,1730,0,1996,3/30/2015,0.42174549,0
326000,1782,1577,3,1782,0,2000,8/12/2014,1.129993659,0
338000,2470,4948,2,2470,0,2003,2/3/2015,0.499191593,0
360400,1630,11592,2,1630,0,1987,11/18/2014,0.140614217,0
785000,2930,33981,2,2930,0,2000,11/7/2014,0.086224655,0
1038000,4570,10615,2,4570,0,1991,9/18/2014,0.430522845,0
599950,2660,4975,2,2660,0,2014,5/20/2014,0.534673367,0
780000,2610,7567,2,2610,0,1997,1/22/2015,0.344918726,0
615000,2250,10171,2,2250,0,1987,2/23/2015,0.221217186,0
589000,2660,206480,1,2660,0,1989,4/26/2015,0.012882604,0
580000,1740,1280,3,1740,0,2008,4/13/2015,1.359375,0
439500,1600,6510,1,940,660,1983,4/23/2015,0.24577573,1
618000,2340,3630,2,2340,0,1998,9/11/2014,0.644628099,0
425000,1630,10762,1,1630,0,1994,12/2/2014,0.151458837,0
350000,1630,3425,2,1630,0,1999,4/10/2015,0.475912409,0
320000,1590,3480,2,1590,0,2004,3/9/2015,0.456896552,0
580000,2200,11000,2,2200,0,1978,7/1/2014,0.2,0
411753,1710,3795,2,1710,0,2009,2/11/2015,0.450592885,0
467000,1530,3984,2,1530,0,1995,2/3/2015,0.384036145,0
840000,3050,33920,1,3050,0,2004,8/11/2014,0.089917453,0
550000,2260,4165,2,2260,0,2005,6/9/2014,0.542617047,0
284200,1570,9292,1,1110,460,1977,4/24/2015,0.168962548,1
250000,1700,6000,2,1700,0,1997,12/15/2014,0.283333333,0
695000,2390,4555,2,2390,0,2006,5/29/2014,0.524698134,0
280000,1650,6000,2,1650,0,1990,1/27/2015,0.275,0
830000,2760,11287,2,2000,760,1991,10/22/2014,0.244529104,1
485000,3110,9015,2,3110,0,1990,9/5/2014,0.344980588,0
250000,1530,2890,2,1530,0,2001,7/28/2014,0.529411765,0
320000,1530,2890,2,1530,0,2001,4/29/2015,0.529411765,0
272000,1790,6371,2,1790,0,1998,7/23/2014,0.280960603,0
297000,1690,4988,2,1690,0,2002,10/14/2014,0.338813152,0
460000,1730,8490,1,1210,520,1969,6/26/2014,0.20376914,1
715000,2410,46609,2,2410,0,1989,12/15/2014,0.051706752,0
822500,3090,7708,2,3090,0,1999,2/10/2015,0.4008822,0
1250000,2070,4944,2,2070,0,1930,12/15/2014,0.41868932,0
295000,1460,7936,2,1460,0,1995,10/1/2014,0.183971774,0
310000,1990,3600,2,1990,0,2004,7/23/2014,0.552777778,0
180500,1800,8518,2,1800,0,1996,10/15/2014,0.211317211,0
325000,1800,8518,2,1800,0,1996,4/28/2015,0.211317211,0
670950,1790,2375,3,1790,0,2007,12/10/2014,0.753684211,0
280000,1860,6607,2,1860,0,1989,6/11/2014,0.2815196,0
330000,1680,11312,1,1080,600,1959,7/1/2014,0.148514851,1
612000,2180,5496,2,2180,0,1994,4/15/2015,0.396652111,0
665000,2630,10047,2,2630,0,1996,9/15/2014,0.261769682,0
509950,1970,9153,2,1970,0,2007,9/16/2014,0.215229979,0
372400,2720,11937,2,2720,0,1990,3/17/2015,0.227862947,0
213550,1580,8541,2,1580,0,1990,10/21/2014,0.184990048,0
275000,1720,8755,1,1000,720,1983,6/4/2014,0.196459166,1
471000,2010,4059,2,2010,0,1998,12/16/2014,0.495195861,0
325000,2540,4260,2,2540,0,2005,4/21/2015,0.596244131,0
705380,2490,4343,2,2490,0,2003,5/5/2014,0.573336403,0
371000,2150,8361,2,2150,0,1991,10/21/2014,0.257146274,0
592000,2400,81892,2,2400,0,1985,8/27/2014,0.029306892,0
300000,1830,12750,2,1830,0,1991,8/15/2014,0.143529412,0
299500,2090,7163,2,2090,0,1989,10/22/2014,0.291777188,0
335000,1700,6698,2,1700,0,1997,9/19/2014,0.253807107,0
381000,1470,3999,2,1470,0,2003,10/7/2014,0.367591898,0
700000,1660,1545,2,1400,260,2002,6/27/2014,1.074433657,1
540000,1670,5146,2,1670,0,1991,5/4/2015,0.324523902,0
475000,2370,3239,2,1950,420,2006,4/17/2015,0.731707317,1
650000,2190,3600,2,2190,0,2003,4/10/2015,0.608333333,0
269000,1560,4200,2,1560,0,2003,6/10/2014,0.371428571,0
340000,1400,4800,1,1200,200,1921,9/12/2014,0.291666667,1
537000,1400,4800,1,1200,200,1921,3/26/2015,0.291666667,1
552500,2450,3582,2,2450,0,2008,5/11/2015,0.683975433,0
390000,2480,53250,2,2480,0,1990,3/11/2015,0.04657277,0
465000,1440,4473,2,1440,0,2003,3/3/2015,0.32193159,0
276000,2495,4400,2,2495,0,2007,12/10/2014,0.567045455,0
715000,3050,6000,1,1720,1330,1984,4/9/2015,0.508333333,1
275000,1480,15639,2,1480,0,1987,5/16/2014,0.094635207,0
690000,2820,5001,2,2820,0,2004,11/3/2014,0.563887223,0
379000,1740,30886,2,1740,0,1992,6/24/2014,0.056336204,0
259000,2153,4400,2,2153,0,2007,4/10/2015,0.489318182,0
225000,1740,10050,2,1740,0,1989,12/3/2014,0.173134328,0
558000,1680,934,3,1680,0,2008,4/9/2015,1.798715203,0
305000,1714,3240,2,1714,0,2005,4/24/2015,0.529012346,0
410000,1740,4948,2,1740,0,2008,7/24/2014,0.351657235,0
856000,2160,3920,2,2160,0,2014,2/6/2015,0.551020408,0
410000,2350,4456,2,2350,0,2004,1/29/2015,0.527378815,0
549950,2160,6288,2,2160,0,1996,4/28/2015,0.34351145,0
416000,1800,5372,2,1800,0,1987,11/18/2014,0.335070737,0
325900,2040,9765,2,2040,0,1985,10/29/2014,0.20890937,0
503000,2190,4882,2,2190,0,1999,6/3/2014,0.448586645,0
248000,2120,6840,1,1220,900,1984,9/11/2014,0.30994152,1
459950,2340,4273,2,2340,0,2002,3/13/2015,0.54762462,0
423700,2070,3986,2,2070,0,1999,9/8/2014,0.519317612,0
570000,1910,4941,2,1910,0,1999,5/5/2015,0.386561425,0
353000,1250,864,3,1250,0,2004,11/1/2014,1.446759259,0
435000,1900,7984,2,1900,0,1993,7/2/2014,0.237975952,0
427000,2050,3218,3,2050,0,2008,9/16/2014,0.637041641,0
299950,1870,7942,2,1870,0,1990,6/25/2014,0.235457064,0
590000,3360,218235,1,3360,0,1989,12/3/2014,0.015396247,0
550000,2510,5400,2,2510,0,1992,5/23/2014,0.464814815,0
770000,2650,40705,2,2650,0,1994,6/19/2014,0.065102567,0
525000,2200,4544,2,2200,0,2000,3/13/2015,0.48415493,0
280000,1270,9675,2,1270,0,1993,5/19/2014,0.13126615,0
495000,1780,47480,2,1780,0,1995,8/20/2014,0.037489469,0
348000,2060,7458,2,2060,0,1989,8/5/2014,0.276213462,0
483500,1670,4308,2,1670,0,2001,8/1/2014,0.387650882,0
390000,1910,4755,2,1910,0,1997,2/5/2015,0.40168244,0
485000,2340,59058,1,2340,0,1985,6/4/2014,0.039622066,0
389000,1720,4515,2,1720,0,2005,9/5/2014,0.380952381,0
485000,1840,8250,1,1340,500,1958,10/31/2014,0.223030303,1
316000,2550,8170,2,2550,0,1985,4/6/2015,0.312117503,0
490000,1890,10190,2,1890,0,1986,12/17/2014,0.185475957,0
520000,2160,4297,2,2160,0,1999,10/28/2014,0.502676286,0
325000,2550,4240,2,2550,0,2006,12/5/2014,0.601415094,0
285000,1940,9874,2,1940,0,1990,8/6/2014,0.196475592,0
515000,3430,48993,2,3430,0,2001,8/11/2014,0.070010001,0
269000,1440,3800,2,1440,0,2005,7/24/2014,0.378947368,0
1901000,2660,13367,2,2660,0,1992,6/4/2014,0.198997531,0
580000,2180,40278,2,2180,0,1985,11/26/2014,0.054123839,0
843500,3560,11448,2,3560,0,1997,12/7/2014,0.310971349,0
430000,2030,7770,2,2030,0,2003,11/13/2014,0.261261261,0
400000,2120,3742,2,2120,0,2006,8/1/2014,0.566541956,0
299000,2450,7062,2,2450,0,1993,12/1/2014,0.346927216,0
641250,2220,2550,3,2220,0,1990,8/27/2014,0.870588235,0
395000,1610,3755,2,1610,0,1987,9/23/2014,0.428761651,0
304000,1710,6773,2,1710,0,1993,4/27/2015,0.252473055,0
1100000,2200,20000,1,1400,800,1952,6/21/2014,0.11,1
412000,1553,1991,3,1553,0,2014,9/2/2014,0.780010045,0
595000,1910,3075,2,1910,0,2001,4/22/2015,0.621138211,0
417000,1300,877,2,1060,240,2008,8/20/2014,1.482326112,1
277950,2100,6021,2,2100,0,1992,11/21/2014,0.348779273,0
610000,2060,8893,2,2060,0,1987,8/21/2014,0.231642865,0
850000,3300,11570,2,3300,0,1994,9/12/2014,0.285220398,0
593700,2000,22000,2,2000,0,1979,2/18/2015,0.090909091,0
245000,1770,6187,2,1770,0,1992,3/18/2015,0.286083724,0
634000,2490,4904,2,2490,0,2003,8/21/2014,0.507748777,0
579000,1640,1269,3,1640,0,2009,6/23/2014,1.292356186,0
705000,2500,10359,2,2500,0,1986,4/13/2015,0.241336036,0
898888,2080,3729,2,2080,0,1996,5/4/2015,0.557790292,0
672000,2620,21587,2,2620,0,1992,5/29/2014,0.121369343,0
416000,1710,1296,3,1510,200,2004,9/12/2014,1.319444444,1
449900,2780,8225,2,2780,0,1990,5/7/2015,0.337993921,0
374950,2540,11562,1,1290,1250,1964,9/9/2014,0.219685176,1
702000,2190,8528,1,1760,430,1991,5/6/2015,0.256801126,1
532000,1820,4910,2,1820,0,1993,6/4/2014,0.370672098,0
736000,1980,2975,3,1980,0,1993,10/21/2014,0.665546218,0
630000,2680,327135,2,2680,0,1995,5/7/2014,0.008192336,0
450000,1639,2710,2,1479,160,2003,8/21/2014,0.604797048,1
635000,1530,2978,1,1210,320,1997,7/16/2014,0.513767629,1
535000,2070,4132,2,2070,0,1999,6/24/2014,0.500968054,0
317000,2100,7587,2,2100,0,1990,2/26/2015,0.276789245,0
279000,1450,4106,2,1450,0,2011,11/21/2014,0.353141744,0
350000,2730,7372,2,2730,0,1998,2/20/2015,0.37032013,0
580000,1980,1873,2,1470,510,1996,5/6/2015,1.057127603,1
499900,2100,5112,2,2100,0,1999,3/5/2015,0.410798122,0
760750,3190,49137,2,3190,0,1988,10/6/2014,0.064920528,0
1010000,2860,5805,2,2860,0,1999,1/8/2015,0.492678725,0
365000,1780,1754,3,1780,0,2007,9/26/2014,1.014823261,0
619000,2040,7503,2,2040,0,1987,3/31/2015,0.271891244,0
725000,2090,9847,2,2090,0,1983,2/13/2015,0.212247385,0
383000,1720,10031,2,1720,0,1993,12/23/2014,0.171468448,0
450000,2180,4226,2,2180,0,2004,9/19/2014,0.515854236,0
382450,2220,20531,2,2220,0,1998,7/16/2014,0.108129171,0
280000,1800,8697,2,1800,0,1987,12/2/2014,0.20696792,0
245000,1820,6785,1,1420,400,1994,11/6/2014,0.268238762,1
700000,3110,11727,2,3110,0,2002,1/16/2015,0.265199966,0
399950,1610,1320,2,1280,330,2007,3/12/2015,1.21969697,1
545000,1990,5149,2,1990,0,2003,11/13/2014,0.386482812,0
415000,2480,8342,2,2480,0,1986,5/18/2014,0.297290818,0
359950,1980,7800,2,1980,0,1999,11/18/2014,0.253846154,0
606000,2200,6005,2,2200,0,1997,3/16/2015,0.366361366,0
654000,3240,60840,2,3240,0,1997,5/1/2015,0.053254438,0
373000,2990,6771,1,1550,1440,2003,11/9/2014,0.44158913,1
512500,1900,7604,2,1900,0,1990,5/21/2014,0.24986849,0
480680,1730,4924,2,1730,0,1996,9/24/2014,0.351340374,0
1875000,3280,29111,2,3280,0,1925,9/16/2014,0.112672186,0
379260,1730,7202,1,1330,400,1991,8/11/2014,0.240211052,1
356000,1590,3411,2,1590,0,2000,7/9/2014,0.466138962,0
550000,2720,62310,1,2040,680,1985,5/12/2015,0.043652704,1
725000,2610,7510,2,2610,0,1996,6/25/2014,0.347536618,0
619500,2170,5000,2,2170,0,2003,5/16/2014,0.434,0
649950,1500,1375,2,1200,300,2014,6/23/2014,1.090909091,1
432500,2390,6435,1,1600,790,1978,12/16/2014,0.371406371,1
455000,1870,7344,1,1470,400,1980,5/15/2014,0.25462963,1
659950,1610,1246,2,1080,530,2014,10/29/2014,1.292134831,1
453000,1750,3900,2,1750,0,1977,3/16/2015,0.448717949,0
350000,1640,10424,2,1640,0,1988,5/11/2015,0.15732924,0
275000,3020,5868,2,3020,0,2003,8/1/2014,0.51465576,0
610000,2630,5827,2,2630,0,2001,7/9/2014,0.451347177,0
1250000,3670,18505,1,2530,1140,1983,11/10/2014,0.198324777,1
369000,1320,1683,2,1270,50,2004,7/12/2014,0.784313725,1
500000,3040,5326,2,3040,0,2008,8/14/2014,0.570784829,0
720000,2820,14250,2,2820,0,1991,4/12/2015,0.197894737,0
340000,2270,7917,2,2270,0,1986,7/25/2014,0.286724769,0
330000,2410,17424,1,1630,780,1978,4/4/2015,0.138314968,1
312000,2280,6386,2,2280,0,2008,11/19/2014,0.357031005,0
362300,2430,15264,2,2430,0,1997,6/23/2014,0.159198113,0
302500,1690,4476,2,1690,0,2008,4/8/2015,0.377569258,0
369950,1360,3718,2,1360,0,1987,9/25/2014,0.365788058,0
268000,1850,6676,2,1850,0,1986,10/8/2014,0.277112043,0
900000,1920,7200,2,1780,140,1997,4/8/2015,0.266666667,1
534500,1700,3150,2,1700,0,2005,6/16/2014,0.53968254,0
370000,2490,18525,2,2490,0,1995,10/16/2014,0.134412955,0
316750,1256,1154,3,1256,0,2005,7/15/2014,1.088388215,0
397500,1860,44093,1,1860,0,1978,4/10/2015,0.042183567,0
415900,1670,22703,1,1310,360,1988,10/31/2014,0.073558561,1
560200,1990,3984,2,1990,0,2004,6/11/2014,0.499497992,0
441500,2360,4670,2,2360,0,1998,9/3/2014,0.505353319,0
375000,1770,5146,2,1770,0,1992,3/9/2015,0.343956471,0
465000,1450,5175,1,1030,420,1995,12/2/2014,0.280193237,1
287000,1710,10341,2,1710,0,1986,3/23/2015,0.165361184,0
680000,2060,2551,2,1900,160,2001,12/15/2014,0.80752646,1
372977,1690,1618,2,1150,540,2014,5/14/2014,1.044499382,1
717000,2480,5137,2,2480,0,2000,6/12/2014,0.482772046,0
429000,2530,8820,2,2530,0,1997,5/5/2015,0.286848073,0
310000,1670,4220,2,1670,0,2002,4/14/2015,0.395734597,0
567000,2540,6093,2,2540,0,1999,5/21/2014,0.41687182,0
339900,2420,7423,2,2420,0,1990,8/18/2014,0.326013741,0
440000,2160,3738,2,2160,0,1994,2/3/2015,0.577849117,0
325000,1880,6818,2,1880,0,1993,9/25/2014,0.275740686,0
310000,1670,5791,2,1670,0,1995,4/29/2015,0.288378518,0
419500,1360,3188,2,1360,0,1986,10/17/2014,0.426599749,0
672500,2450,5760,2,2450,0,2000,3/30/2015,0.425347222,0
559000,3110,217800,2,3110,0,2001,10/13/2014,0.014279155,0
317000,1840,5011,2,1840,0,2012,5/14/2014,0.367192177,0
568000,1740,1279,3,1740,0,2008,8/21/2014,1.360437842,0
528000,2810,4932,2,2810,0,2003,1/7/2015,0.569748581,0
600000,4930,77536,2,3930,1000,1981,8/22/2014,0.063583368,1
775000,3010,74390,2,3010,0,1998,8/4/2014,0.040462428,0
440000,1040,1032,3,1040,0,2007,1/16/2015,1.007751938,0
479990,2010,2386,2,1390,620,2014,8/5/2014,0.842414082,1
625000,2600,10092,1,2600,0,1984,5/23/2014,0.257629806,0
961500,3910,14000,2,3910,0,1999,8/12/2014,0.279285714,0
510000,2540,40106,2,2540,0,1991,11/18/2014,0.06333217,0
320000,2130,6969,2,2130,0,2003,5/10/2014,0.30563926,0
432000,1920,9812,2,1920,0,2000,11/6/2014,0.195678761,0
395000,2250,3757,2,2250,0,2006,5/28/2014,0.598882087,0
420000,2480,6180,2,2480,0,1999,4/25/2015,0.401294498,0
590000,2290,4203,2,2290,0,2001,4/3/2015,0.544848917,0
308000,2320,7140,2,2320,0,1990,4/10/2015,0.324929972,0
485000,2870,5490,2,2870,0,2008,7/21/2014,0.52276867,0
635000,3610,26359,1,1950,1660,1998,11/25/2014,0.13695512,1
349000,2550,7709,2,2550,0,1989,3/12/2015,0.330782203,0
349900,2200,7278,2,2200,0,1990,5/30/2014,0.302280846,0
515100,2074,4900,2,2074,0,1997,10/14/2014,0.423265306,0
288000,1370,9253,1,1090,280,1994,5/13/2015,0.148060089,1
390000,1640,6991,1,1110,530,1967,3/10/2015,0.234587327,1
535000,2210,7620,2,2210,0,1994,5/23/2014,0.290026247,0
335000,2260,8040,2,2260,0,1990,2/2/2015,0.281094527,0
386591,1690,1613,2,1150,540,2014,5/19/2014,1.047737136,1
364250,2280,213879,2,2280,0,1994,8/27/2014,0.010660233,0
300000,1800,3253,2,1800,0,2001,10/23/2014,0.553335383,0
445000,1730,4408,2,1730,0,1996,10/10/2014,0.39246824,0
231000,1370,7247,2,1370,0,1995,3/25/2015,0.189043742,0
319900,2040,7580,2,2040,0,1998,3/20/2015,0.269129288,0
475226,2120,4512,2,2120,0,1988,8/27/2014,0.469858156,0
638000,2170,5000,2,2170,0,2003,3/25/2015,0.434,0
575000,2120,4780,2,2120,0,2004,9/30/2014,0.443514644,0
605500,2830,6536,2,2830,0,1989,6/17/2014,0.432986536,0
375000,1930,6180,1,1330,600,1961,11/19/2014,0.312297735,1
325000,1580,4698,2,1580,0,1998,5/1/2015,0.336313325,0
660000,2330,3995,2,2330,0,2006,3/26/2015,0.583229036,0
475000,2770,98881,2,2770,0,1991,8/15/2014,0.028013471,0
421000,2890,21780,2,2890,0,2000,6/17/2014,0.132690542,0
289000,1490,8628,2,1490,0,1994,3/30/2015,0.172693556,0
435000,1420,2581,3,1420,0,2004,6/11/2014,0.550174351,0
448500,2080,3920,2,2080,0,2010,5/8/2015,0.530612245,0
569000,2150,8060,2,2150,0,1995,10/1/2014,0.26674938,0
735000,2820,8159,2,2820,0,2004,7/10/2014,0.345630592,0
250000,1790,6191,2,1790,0,1992,11/11/2014,0.289129381,0
266000,1940,8547,1,1460,480,1989,5/8/2014,0.226980227,1
272000,1650,13816,2,1650,0,1998,5/6/2014,0.119426752,0
463000,2010,4195,2,2010,0,1998,7/30/2014,0.479141836,0
480000,1250,1103,3,1250,0,2005,6/12/2014,1.133272892,0
489000,2260,19821,2,2260,0,1994,5/30/2014,0.114020483,0
800000,2100,4440,2,2100,0,1945,4/28/2015,0.472972973,0
286000,1680,5000,2,1680,0,1987,10/23/2014,0.336,0
765000,2700,8444,2,2700,0,1992,10/8/2014,0.319753671,0
